آمدیم	V$آمد+IND PAST 1PL
آمرز	V$آمرزید+IMP 2SG
آمرزد	V$آمرزید+IND PRES 3SG
آمرزش	V$آمرزید+IMP 2SG PRO3SG
آمرزم	V$آمرزید+IMP 2SG PRO1SG#IND PRES 1SG
آمرزی	V$آمرزید+IND PRES 2SG
آمرزیدمت	V$آمرزید+IND PAST 1SG PRO2SG
آمرزیدن	V$آمرزید+INF
آمرزیده	V$آمرزید+PP
آموخت	V$آموخت+IND PAST 3SG
آموختت	V$آموخت+IND PAST 3SG PRO2SG
آموختست	V$آموخت+IND 3SG PERF
آموختستند	V$آموخت+IND 3PL PERF2
آموختشان	V$آموخت+IND PAST 3SG PRO3PL
آموختم	V$آموخت+IND PAST 3SG PRO1SG#IND PAST 1SG
آموختن	V$آموخت+INF
آموختنت	V$آموخت+INF PRO2SG
آموختند	V$آموخت+IND PAST 3PL
آموختندم	V$آموخت+IND PAST 3PL PRO1SG
آموختندی	V$آموخت+SUB IRRP 3PL
آموختنش	V$آموخت+INF PRO3SG
آموختن‌شان	V$آموخت+INF PRO3PL
آموخته	V$آموخت+PP
آموخته‌ام	V$آموخت+IND 1SG PERF#PP PRO1SG
آموخته‌اند	V$آموخت+IND 3PL PERF
آموخته‌ای	V$آموخت+IND 2SG PERF
آموخته‌ایم	V$آموخت+IND 1PL PERF
آموخته‌ست	V$آموخت+IND 3SG PERF
آموخته‌ستیم	V$آموخت+IND 1PL PERF2
آموختی	V$آموخت+SUB IRRP 3SG#IND PAST 2SG
آموختیم	V$آموخت+IND PAST 1PL
آمود	V$آمود+IND PAST 3SG
آمودن	V$آمود+INF
آمودنش	V$آمود+INF PRO3SG
آموده	V$آمود+PP
آموز	V$آموخت+IMP 2SG*آموزید+IMP 2SG
آموزان	V$آموزاند+IMP 2SG
آموزت	V$آموخت+IMP 2SG PRO2SG*آموزید+IMP 2SG PRO2SG
آموزد	V$آموخت+IND PRES 3SG*آموزید+IND PRES 3SG
آموزدت	V$آموخت+IND PRES 3SG PRO2SG*آموزید+IND PRES 3SG PRO2SG
آموزدش	V$آموخت+IND PRES 3SG PRO3SG*آموزید+IND PRES 3SG PRO3SG
آموزدم	V$آموخت+IND PRES 3SG PRO1SG*آموزید+IND PRES 3SG PRO1SG
آموزش	V$آموخت+IMP 2SG PRO3SG*آموزید+IMP 2SG PRO3SG
آموزم	V$آموخت+IMP 2SG PRO1SG#IND PRES 1SG*آموزید+IMP 2SG PRO1SG#IND PRES 1SG
آموزند	V$آموخت+IND PRES 3PL*آموزید+IND PRES 3PL
آموزی	V$آموخت+IND PRES 2SG*آموزید+IND PRES 2SG
آموزید	V$آموخت+IND PRES 2PL#IMP 2PL*آموزید+IND PRES 2PL#IND PAST 3SG#IMP 2PL
آموزیم	V$آموخت+IND PRES 1PL*آموزید+IND PRES 1PL
آمیخت	V$آمیخت+IND PAST 3SG
آمیختست	V$آمیخت+IND 3SG PERF
آمیختستند	V$آمیخت+IND 3PL PERF2
آمیختش	V$آمیخت+IND PAST 3SG PRO3SG
آمیختم	V$آمیخت+IND PAST 3SG PRO1SG#IND PAST 1SG
آمیختن	V$آمیخت+INF
آمیختند	V$آمیخت+IND PAST 3PL
آمیختنش	V$آمیخت+INF PRO3SG
آمیخته	V$آمیخت+PP
آمیخته‌ام	V$آمیخت+IND 1SG PERF#PP PRO1SG
آمیخته‌اند	V$آمیخت+IND 3PL PERF
آمیخته‌ای	V$آمیخت+IND 2SG PERF
آمیخته‌ایم	V$آمیخت+IND 1PL PERF
آمیخته‌ست	V$آمیخت+IND 3SG PERF
آمیختی	V$آمیخت+SUB IRRP 3SG#IND PAST 2SG
آمیختیم	V$آمیخت+IND PAST 1PL
آمیز	V$آمیغد+IMP 2SG*آمیخت+IMP 2SG
