آ	INT$آ+
مشوش‌اند	ADV$مشوش+ COP3PL
مشکل	ADV$مشکل+
مشکلست	ADV$مشکل+ COP3SG
مشکلم	ADV$مشکل+ COP1SG
مشکلی	ADV$مشکل+ COP2SG
مصلحه	ADV$مصلحه+
مطلقا	ADV$مطلقا+
معا	ADV$معا+
معاذالله	INT$معاذالله+
معاند	ADV$معا+ COP3PL
معو	INT$معو+
مغ	ADV$مغ+
مغلق	ADV$مغلق+
مغلقی	ADV$مغلق+ COP2SG
مغی	ADV$مغ+ COP2SG
مفت	ADV$مفت+
مفتخرا	ADV$مفتخرا+
مفتست	ADV$مفت+ COP3SG
مفتی	ADV$مفت+ COP2SG
مفصل	ADV$مفصل+
مفصلی	ADV$مفصل+ COP2SG
مقدمه	ADV$مقدمه+
مقدمه‌ی	ADV$مقدمه+ COP2SG
ملا	ADV$ملا+
ملاست	ADV$ملا+ COP3SG
ملام	ADV$ملا+ COP1SG
ملای	ADV$ملا+ COP2SG
ملایم	ADV$ملا+ COP1PL*ملایم+
ملوکانه	ADV$ملوکانه+
من	PRO$من+SG
منان	PRO$من+PL
منت	PRO$من+SG PRO2SG
منتان	PRO$من+SG PRO2PL
منتست	PRO$من+SG PRO2SG COP3SG
منتم	PRO$من+SG PRO2SG COP1SG
منتی	PRO$من+SG PRO2SG COP2SG#SG PRO2SG YEH
منتیست	PRO$من+SG PRO2SG YEH COP3SG
منست	PRO$من+SG COP3SG
منستی	PRO$من+SG COP2SG
منش	PRO$من+SG PRO3SG
منشان	PRO$من+SG PRO3PL
منشانم	PRO$من+SG PRO3PL COP1SG
منشانند	PRO$من+SG PRO3PL COP3PL
منشانید	PRO$من+SG PRO3PL COP2PL
منشی	PRO$من+SG PRO3SG COP2SG#SG PRO3SG YEH
منم	PRO$من+SG PRO1SG#SG COP1SG
منمرا	PRO$من+SG PRO1SG POSTP
منمی	PRO$من+SG PRO1SG COP2SG#SG PRO1SG YEH
منند	PRO$من+SG COP3PL
منها	PRO$من+PL
منکه	PRO$من+SG CONJ
منی	PRO$من+SG COP2SG#SG YEH
منید	PRO$من+SG COP2PL
منیرا	PRO$من+SG YEH POSTP
منیست	PRO$من+SG YEH COP3SG
منیم	PRO$من+SG YEH COP1SG#SG COP1PL
منیی	PRO$من+SG YEH COP2SG
من‌اند	PRO$من+SG COP3PL
من‌بعد	ADV$من‌بعد+
من‌ست	PRO$من+SG COP3SG
من‌ها	PRO$من+PL
من‌های	PRO$من+PL EZ#PL COP2SG
مواجهه	ADV$مواجهه+
موازی	ADV$موازی+
موبدا	ADV$موبدا+
موزون	ADV$موزون+
موزونست	ADV$موزون+ COP3SG
موزونم	ADV$موزون+ COP1SG
موزونند	ADV$موزون+ COP3PL
موزونی	ADV$موزون+ COP2SG
مویان	ADV$مویان+
مک	ADV$مک+
مکرر	ADV$مکرر+
مکررم	ADV$مکرر+ COP1SG
مکرما	ADV$مکرما+
مکست	ADV$مک+ COP3SG
مکی	ADV$مک+ COP2SG
مکید	ADV$مک+ COP2PL
مکیم	ADV$مک+ COP1PL
نابهنگام	ADV$نابهنگام+
نابیوسان	ADV$نابیوسان+
نات	NUM$نه+PL
ناتی	NUM$نه+PL YEH#PL COP2SG
ناحق	ADV$ناحق+
ناحقی	ADV$ناحق+ COP2SG
ناخواسته	ADV$ناخواسته+
ناخواسته‌ی	ADV$ناخواسته+ COP2SG
ناخواه	ADV$ناخواه+
ناخواه‌ام	ADV$ناخواه+ COP1SG
نادرا	ADV$نادرا+
نادرست	ADV$نادرست+
نادرستی	ADV$نادرست+ COP2SG
ناراست	ADV$ناراست+
ناراستی	ADV$ناراست+ COP2SG
ناراستید	ADV$ناراست+ COP2PL
ناراستیم	ADV$ناراست+ COP1PL
نازنازان	ADV$نازنازان+
ناسزاوار	ADV$ناسزاوار+
ناسزاواری	ADV$ناسزاوار+ COP2SG
ناسنجیده	ADV$ناسنجیده+
ناشناس	ADV$ناشناس+
ناشناسا	ADV$ناشناسا+
ناشناسی	ADV$ناشناس+ COP2SG
نامرتب	ADV$نامرتب+
نامرتبست	ADV$نامرتب+ COP3SG
نامردانه	ADV$نامردانه+
ناهنجار	ADV$ناهنجار+
ناچار	ADV$ناچار+
ناچارست	ADV$ناچار+ COP3SG
ناچارم	ADV$ناچار+ COP1SG
ناچاری	ADV$ناچار+ COP2SG
ناگاهان	ADV$ناگاهان+
ناگزیر	ADV$ناگزیر+
ناگزیرست	ADV$ناگزیر+ COP3SG
ناگزیرم	ADV$ناگزیر+ COP1SG
ناگزیری	ADV$ناگزیر+ COP2SG
ناگزیریم	ADV$ناگزیر+ COP1PL
ناگه	ADV$ناگه+
ناگهانی	ADV$ناگهانی+
نتیجه	ADV$نتیجه+
نتیجه‌ای	ADV$نتیجه+ COP2SG
نتیجه‌ی	ADV$نتیجه+ COP2SG
نخست	NUM$نخست+SG&ADV$نخست+
نخستت	NUM$نخست+SG PRO2SG
نخستش	NUM$نخست+SG PRO3SG
نخستم	NUM$نخست+SG PRO1SG#SG COP1SG&ADV$نخست+ COP1SG
نخستی	NUM$نخست+SG COP2SG#SG YEH&ADV$نخست+ COP2SG
نخستیم	NUM$نخست+SG YEH COP1SG#SG COP1PL&ADV$نخست+ COP1PL
نخستین	NUM$نخستین+SG
نخستینت	NUM$نخستین+SG PRO2SG
نخستینست	NUM$نخستین+SG COP3SG
نخستینش	NUM$نخستین+SG PRO3SG
نخستینم	NUM$نخستین+SG PRO1SG#SG COP1SG
نخستینی	NUM$نخستین+SG COP2SG#SG YEH
نخستیی	NUM$نخست+SG YEH COP2SG
نخست‌اند	NUM$نخست+SG COP3PL&ADV$نخست+ COP3PL
نخودی	ADV$نخودی+
ندانسته	ADV$ندانسته+
ندانسته‌ام	ADV$ندانسته+ COP1SG
ندانسته‌اند	ADV$ندانسته+ COP3PL
ندانسته‌ای	ADV$ندانسته+ COP2SG
ندانسته‌ایم	ADV$ندانسته+ COP1PL
نذری	ADV$نذری+
نرم‌نرم	ADV$نرم‌نرم+
نزدیک	ADV$نزدیک+
نزدیکست	ADV$نزدیک+ COP3SG
نزدیکم	ADV$نزدیک+ COP1SG
نزدیکی	ADV$نزدیک+ COP2SG
نزدیک‌ست	ADV$نزدیک+ COP3SG
نزدیک‌ی	ADV$نزدیک+ COP2SG
نسنجیده	ADV$نسنجیده+
نسیه	ADV$نسیه+
نسیه‌ای	ADV$نسیه+ COP2SG
نسیه‌ست	ADV$نسیه+ COP3SG
نسیه‌ی	ADV$نسیه+ COP2SG
نصفه	ADV$نصفه+
نظرا	ADV$نظرا+
نعم	ADV$نعم+
نعمست	ADV$نعم+ COP3SG
نقد	ADV$نقد+
نقدست	ADV$نقد+ COP3SG
نقدم	ADV$نقد+ COP1SG
نقدی	ADV$نقد+ COP2SG
نه	NUM$نه+SG
نهان	ADV$نهان+
نهانست	ADV$نهان+ COP3SG
نهانستی	ADV$نهان+ COP2SG
نهانم	ADV$نهان+ COP1SG
نهانند	ADV$نهان+ COP3PL
نهانی	ADV$نهان+ COP2SG*نهانی+
نهانید	ADV$نهان+ COP2PL
نهانیست	ADV$نهانی+ COP3SG
نهانیم	ADV$نهان+ COP1PL*نهانی+ COP1SG
نهانیی	ADV$نهانی+ COP2SG
نهان‌ست	ADV$نهان+ COP3SG
نهایت	ADV$نهایت+
نهایتست	ADV$نهایت+ COP3SG
نهایتی	ADV$نهایت+ COP2SG
نهت	NUM$نه+SG PRO2SG
نهش	NUM$نه+SG PRO3SG
نهصد	NUM$نهصد+SG
نهفته	ADV$نهفته+
نهفته‌اند	ADV$نهفته+ COP3PL
نهفته‌ای	ADV$نهفته+ COP2SG
نهفته‌ایم	ADV$نهفته+ COP1PL
نهفته‌ست	ADV$نهفته+ COP3SG
نهفته‌ستند	ADV$نهفته+ COP3PL
نهفته‌ی	ADV$نهفته+ COP2SG
نهم	NUM$نه+SG PRO1SG
نهمی	NUM$نه+SG PRO1SG COP2SG#SG PRO1SG YEH
نهیی	NUM$نه+SG YEH
نه‌اش	NUM$نه+SG PRO3SG
نه‌ام	NUM$نه+SG PRO1SG#SG COP1SG
نه‌امی	NUM$نه+SG PRO1SG COP2SG#SG PRO1SG YEH
نه‌اند	NUM$نه+SG COP3PL
نه‌ای	NUM$نه+SG COP2SG
نه‌اید	NUM$نه+SG COP2PL
نه‌ایم	NUM$نه+SG COP1PL
نه‌های	NUM$نه+PL EZ#PL COP2SG
نه‌هست	NUM$نه+SG COP3SG
نه‌ی	NUM$نه+SG COP2SG#SG EZ
نه‌یی	NUM$نه+SG YEH
نوز	ADV$نوز+
نوزده	NUM$نوزده+SG
نوزدهم	NUM$نوزده+SG PRO1SG
نوزید	ADV$نوز+ COP2PL
نژادا	ADV$نژادا+
نک	ADV$نک+
نکستم	ADV$نک+ COP1SG
نکند	ADV$نک+ COP3PL
نیمه‌شب	ADV$نیمه‌شب+
نیک	ADV$نیک+
نیکست	ADV$نیک+ COP3SG
نیکستی	ADV$نیک+ COP2SG
نیکم	ADV$نیک+ COP1SG
نیکند	ADV$نیک+ COP3PL
نیکو	ADV$نیکو+
نیکوست	ADV$نیکو+ COP3SG
نیکوم	ADV$نیکو+ COP1SG
نیکوی	ADV$نیکو+ COP2SG
نیکی	ADV$نیک+ COP2SG
نیکیم	ADV$نیک+ COP1PL
نیک‌اند	ADV$نیک+ COP3PL
نیک‌ست	ADV$نیک+ COP3SG
و	CONJ$و+&P$+CONJ 
وآخر	ADV$آخر+CONJ 
وآرام	ADV$آرام+CONJ 
وآزاد	ADV$آزاد+CONJ 
وآن	PRO$آن+CONJ SG
وآنجا	ADV$آنجا+CONJ 
وآنرا	PRO$آن+CONJ SG POSTP
وآنش	PRO$آن+CONJ SG PRO3SG
وآنهمه	PRO$آنهمه+CONJ SG&ADV$آنهمه+CONJ 
وآنچنان	PRO$آنچنان+CONJ SG&ADV$آنچنان+CONJ 
وآنک	PRO$آنک+CONJ SG
وآنکه	PRO$آنکه+CONJ SG*آن+CONJ SG CONJ
وآنگاه	ADV$آنگاه+CONJ 
وآنگه	ADV$آنگه+CONJ 
وآهسته	ADV$آهسته+CONJ 
وا	INT$وا+
وابتداء	ADV$ابتداء+CONJ 
واحد	PRO$احد+CONJ SG
واحدست	PRO$احد+CONJ SG COP3SG
واحدش	PRO$احد+CONJ SG PRO3SG
واحدم	PRO$احد+CONJ SG COP1SG#CONJ SG PRO1SG
واحدند	PRO$احد+CONJ SG COP3PL
واحدی	PRO$احد+CONJ SG YEH#CONJ SG COP2SG
واحدیم	PRO$احد+CONJ SG YEH COP1SG#CONJ SG COP1PL
وارثا	ADV$ارثا+CONJ 
واز	P$از+CONJ 
وازدم	ADV$ازدم+CONJ 
واسر	PRO$اسر+CONJ SG
واسما	ADV$اسما+CONJ 
واش	INT$وا+ PRO3SG
وافزون	ADV$افزون+CONJ 
والان	ADV$الان+CONJ 
والحق	ADV$الحق+CONJ 
وام	INT$وا+ PRO1SG
وامروز	ADV$امروز+CONJ 
وامشبم	ADV$امشب+CONJ  COP1SG
وان	NUM$ان+CONJ SG
وانان	NUM$ان+CONJ PL
وانانکه	NUM$ان+CONJ PL CONJ
واناید	PRO$انا+CONJ SG COP2PL
وانت	NUM$ان+CONJ SG PRO2SG
وانتم	NUM$ان+CONJ SG PRO2SG COP1SG
واند	NUM$اند+CONJ SG&PRO$اند+CONJ SG
واندر	P$اندر+CONJ 
واندران	NUM$ان+CONJ PREP SG
واندم	NUM$اند+CONJ SG COP1SG#CONJ SG PRO1SG&PRO$اند+CONJ SG COP1SG#CONJ SG PRO1SG
واندک	ADV$اندک+CONJ 
واندکی	ADV$اندکی+CONJ *اندک+CONJ  COP2SG
وانرا	NUM$ان+CONJ SG POSTP
وانش	NUM$ان+CONJ SG PRO3SG
وانشان	NUM$ان+CONJ SG PRO3PL
وانم	NUM$ان+CONJ SG COP1SG#CONJ SG PRO1SG
وانمانی	NUM$ان+CONJ SG PRO1PL COP2SG#CONJ SG PRO1PL YEH
وانها	NUM$ان+CONJ PL
وانکه	NUM$ان+CONJ SG CONJ
وانی	NUM$ان+CONJ SG YEH#CONJ SG COP2SG
وان‌ها	NUM$ان+CONJ PL
واو	PRO$او+CONJ SG
واوی	PRO$او+CONJ SG COP2SG#CONJ SG EZ*اوی+CONJ SG
واکنون	ADV$اکنون+CONJ 
وایدر	ADV$ایدر+CONJ 
وایدون	ADV$ایدون+CONJ 
وایشان	INT$وا+ PRO3PL&PRO$ایشان+CONJ SG
وایم	INT$وا+ PRO1SG
وایمان	INT$وا+ PRO1PL
واین	PRO$این+CONJ SG
واینجا	ADV$اینجا+CONJ 
واینک	ADV$اینک+CONJ 
واینکه	PRO$این+CONJ SG CONJ
وایچ	PRO$ایچ+CONJ SG
وباز	ADV$باز+CONJ 
وباستار	PRO$باستار+CONJ SG
وبالا	ADV$بالا+CONJ 
وبان	NUM$ان+CONJ PREP SG
وببد	ADV$بد+CONJ PREP 
وبد	ADV$بد+CONJ 
وبر	P$بر+CONJ 
وبرتر	ADV$برتر+CONJ 
وبرده	NUM$ده+CONJ PREP SG
وبس	ADV$بس+CONJ 
وبسیار	ADV$بسیار+CONJ 
وبم	P$ب+CONJ  PRO1SG
وبنه	NUM$نه+CONJ PREP SG
وبه	ADV$به+CONJ 
وبیش	ADV$بیش+CONJ 
وت	CONJ$و+ PRO2SG&P$+CONJ  PRO2SG
وتندی	ADV$تند+CONJ  COP2SG*تندی+CONJ 
وتنگ	ADV$تنگ+CONJ 
وتو	PRO$تو+CONJ SG
وجدی	ADV$جدی+CONJ 
وخندان	ADV$خندان+CONJ 
وخوب	ADV$خوب+CONJ 
وخوبی	ADV$خوب+CONJ  COP2SG*خوبی+CONJ 
وخوش	ADV$خوش+CONJ 
وخویش	PRO$خویش+CONJ SG
وخویشی	PRO$خویش+CONJ SG YEH#CONJ SG COP2SG
ودانسته	ADV$دانسته+CONJ 
ودر	P$در+CONJ 
ودرم	P$در+CONJ  PRO1SG
ودرمان	P$در+CONJ  PRO1PL
ودهش	NUM$ده+CONJ SG PRO3SG
ودو	NUM$دو+CONJ SG
ودور	ADV$دور+CONJ 
ودوست	NUM$دو+CONJ SG COP3SG
ودگر	PRO$دگر+CONJ SG
ودی	ADV$دی+CONJ 
ودیگر	ADV$دیگر+CONJ 
وراحت	ADV$راحت+CONJ 
وراست	ADV$راست+CONJ 
وراستی	ADV$راست+CONJ  COP2SG*راستی+CONJ 
ورکم	ADV$رک+CONJ  COP1SG
وز	P$ز+CONJ 
وزآن	PRO$آن+CONJ PREP SG
وزآنجا	ADV$آنجا+CONJ PREP 
وزآنجای	ADV$آنجا+CONJ PREP  COP2SG
وزان	NUM$ان+CONJ PREP SG
وزانت	NUM$ان+CONJ PREP SG PRO2SG
وزانست	NUM$ان+CONJ PREP SG COP3SG
وزانستی	NUM$ان+CONJ PREP SG COP2SG
وزانش	NUM$ان+CONJ PREP SG PRO3SG
وزانم	NUM$ان+CONJ PREP SG COP1SG#CONJ PREP SG PRO1SG
وزانکه	NUM$ان+CONJ PREP SG CONJ
وزایدر	ADV$ایدر+CONJ PREP 
وزایشان	PRO$ایشان+CONJ PREP SG
وزاین	PRO$این+CONJ PREP SG
وزبانی	ADV$زبانی+CONJ 
وزبیخودی	ADV$بیخود+CONJ PREP  COP2SG*بیخودی+CONJ PREP 
وزراست	ADV$راست+CONJ PREP 
وزنه	NUM$نه+CONJ PREP SG
وسادستی	NUM$سادس+CONJ SG PRO2SG YEH#CONJ SG PRO2SG COP2SG
وسخ	ADV$سخ+CONJ 
وسخت	ADV$سخت+CONJ 
وسختی	ADV$سخت+CONJ  COP2SG
وسرد	ADV$سرد+CONJ 
وسری	ADV$سری+CONJ 
وسست	ADV$سست+CONJ 
وسستی	ADV$سست+CONJ  COP2SG
وسنا	ADV$سنا+CONJ 
وسه	NUM$سه+CONJ SG
وسوا	ADV$سوا+CONJ 
وسواست	ADV$سوا+CONJ  COP3SG
وسومان	NUM$سوم+CONJ PL
وسیم	NUM$سی+CONJ SG COP1SG#CONJ SG PRO1SG
وسیمین	NUM$سیمین+CONJ SG
وش	CONJ$و+ PRO3SG&P$+CONJ  PRO3SG
وشادان	ADV$شادان+CONJ 
وشان	CONJ$و+ PRO3PL&P$+CONJ  PRO3PL
وشب	ADV$شب+CONJ 
وشست	NUM$شست+CONJ SG
وشش	NUM$شش+CONJ SG
وشصت	NUM$شصت+CONJ SG
وشیرین	ADV$شیرین+CONJ 
وصاف	ADV$صاف+CONJ 
وصافست	ADV$صاف+CONJ  COP3SG
وصافی	ADV$صاف+CONJ  COP2SG
وصد	NUM$صد+CONJ SG
وعدل	ADV$عدل+CONJ 
وفاش	ADV$فاش+CONJ 
وفرود	ADV$فرود+CONJ 
وفور	ADV$فور+CONJ 
وقدی	ADV$قدی+CONJ 
ولا	NUM$لا+CONJ SG
ولات	NUM$لا+CONJ SG PRO2SG
ولاتست	NUM$لا+CONJ SG PRO2SG COP3SG
ولاست	NUM$لا+CONJ SG COP3SG
ولای	NUM$لا+CONJ SG COP2SG#CONJ SG EZ
ولایت	NUM$لا+CONJ SG PRO2SG
ولایتست	NUM$لا+CONJ SG PRO2SG COP3SG
ولایتند	NUM$لا+CONJ SG PRO2SG COP3PL
ولایتی	NUM$لا+CONJ SG PRO2SG YEH#CONJ SG PRO2SG COP2SG
ولایتیست	NUM$لا+CONJ SG PRO2SG YEH COP3SG
ولایتیکه	NUM$لا+CONJ SG PRO2SG YEH CONJ#CONJ SG PRO2SG COP2SG CONJ
ولایزال	ADV$لایزال+CONJ 
ولایش	NUM$لا+CONJ SG PRO3SG
ولایی	NUM$لا+CONJ SG YEH
ولله	ADV$لله+CONJ 
وما	PRO$ما+CONJ SG
ومان	CONJ$و+ PRO1PL&P$+CONJ  PRO1PL
وماند	PRO$ما+CONJ SG COP3PL
ومن	PRO$من+CONJ SG
وناگزیر	ADV$ناگزیر+CONJ 
ونه	NUM$نه+CONJ SG
ونهان	ADV$نهان+CONJ 
ونک	ADV$نک+CONJ 
ونیک	ADV$نیک+CONJ 
وپاک	ADV$پاک+CONJ 
وپر	ADV$پر+CONJ 
وپری	ADV$پری+CONJ *پر+CONJ  COP2SG
وپس	ADV$پس+CONJ 
وپستم	ADV$پست+CONJ  COP1SG
وپستی	ADV$پست+CONJ  COP2SG
وپنج	NUM$پنج+CONJ SG
وپنهان	ADV$پنهان+CONJ 
وپیش	ADV$پیش+CONJ 
وپیوسته‌ی	ADV$پیوسته+CONJ  COP2SG
وچنان	ADV$چنان+CONJ 
وچند	NUM$چند+CONJ SG&ADV$چند+CONJ 
وچندین	NUM$چندین+CONJ SG
وچه	PRO$چه+CONJ SG&ADV$چه+CONJ 
وچون	ADV$چون+CONJ 
وکس	PRO$کس+CONJ SG
وکم	ADV$کم+CONJ 
وکند	ADV$کند+CONJ 
وکی	PRO$کی+CONJ SG&ADV$کی+CONJ 
وکیش	PRO$کی+CONJ SG PRO3SG
وکیی	PRO$کی+CONJ SG COP2SG#CONJ SG EZ&ADV$کی+CONJ  COP2SG
وگاه	ADV$گاه+CONJ 
وگران	ADV$گران+CONJ 
وگرم	ADV$گرم+CONJ 
ویت	CONJ$و+ PRO2SG&P$+CONJ  PRO2SG
ویش	CONJ$و+ PRO3SG&P$+CONJ  PRO3SG
ویشان	CONJ$و+ PRO3PL&P$+CONJ  PRO3PL
ویم	CONJ$و+ PRO1SG&P$+CONJ  PRO1SG
پابرهنه	ADV$پابرهنه+
پاداری	ADV$پادار+ COP2SG
پادشاهانه	ADV$پادشاهانه+
پارسال	ADV$پارسال+
پاره‌پاره	ADV$پاره‌پاره+
پانزده	NUM$پانزده+SG
پانزدهم	NUM$پانزده+SG PRO1SG*پانزدهم+SG
پانصد	NUM$پانصد+SG
پانصدش	NUM$پانصد+SG PRO3SG
پانصدی	NUM$پانصد+SG COP2SG#SG YEH
پاک	ADV$پاک+
پاکست	ADV$پاک+ COP3SG
پاکم	ADV$پاک+ COP1SG
پاکند	ADV$پاک+ COP3PL
پاکی	ADV$پاک+ COP2SG
پاکیم	ADV$پاک+ COP1PL
پایه‌پایه	ADV$پایه‌پایه+
پایین	ADV$پایین+
پخ	INT$پخ+
پخت	INT$پخ+ PRO2SG
پخش	INT$پخ+ PRO3SG
پدرانه	ADV$پدرانه+
پدروار	ADV$پدروار+
پر	ADV$پر+
پراپرند	ADV$پراپر+ COP3PL
پراکنده	ADV$پراکنده+
پراکنده‌ام	ADV$پراکنده+ COP1SG
پراکنده‌ای	ADV$پراکنده+ COP2SG
پراکنده‌ایم	ADV$پراکنده+ COP1PL
پراکنده‌ی	ADV$پراکنده+ COP2SG
پرست	ADV$پر+ COP3SG
پرستم	ADV$پر+ COP1SG
پرستند	ADV$پر+ COP3PL
پرستی	ADV$پر+ COP2SG
پرستید	ADV$پر+ COP2PL
پرستیم	ADV$پر+ COP1PL
پرم	ADV$پر+ COP1SG
پرند	ADV$پر+ COP3PL
پرندوش	ADV$پرندوش+
پری	ADV$پری+*پر+ COP2SG
پرید	ADV$پر+ COP2PL
پریست	ADV$پری+ COP3SG
پریشان	ADV$پریشان+
پریشانست	ADV$پریشان+ COP3SG
پریشانستم	ADV$پریشان+ COP1SG
پریشانم	ADV$پریشان+ COP1SG
پریشانند	ADV$پریشان+ COP3PL
پریشانی	ADV$پریشان+ COP2SG
پریشانیم	ADV$پریشان+ COP1PL
پریم	ADV$پری+ COP1SG*پر+ COP1PL
پریی	ADV$پری+ COP2SG
پری‌ام	ADV$پری+ COP1SG
پری‌ست	ADV$پری+ COP3SG
پس	ADV$پس+
پست	ADV$پست+
پستست	ADV$پست+ COP3SG
پستم	ADV$پست+ COP1SG
پستند	ADV$پست+ COP3PL
پستی	ADV$پست+ COP2SG
پستیم	ADV$پست+ COP1PL
پست‌اند	ADV$پست+ COP3PL
پسست	ADV$پس+ COP3SG
پسم	ADV$پس+ COP1SG
پسند	ADV$پس+ COP3PL
پسی	ADV$پس+ COP2SG
پس‌اند	ADV$پس+ COP3PL
پس‌فردا	ADV$پس‌فردا+
پس‌فردای	ADV$پس‌فردا+ COP2SG
پشتاپشت	ADV$پشتاپشت+
پنج	NUM$پنج+SG
پنجاه	NUM$پنجاه+SG
پنجاهم	NUM$پنجاه+SG PRO1SG*پنجاهم+SG
پنجست	NUM$پنج+SG COP3SG
پنجش	NUM$پنج+SG PRO3SG
پنجم	NUM$پنج+SG PRO1SG#SG COP1SG
پنجمست	NUM$پنج+SG PRO1SG COP3SG
پنجمند	NUM$پنج+SG PRO1SG COP3PL
پنجند	NUM$پنج+SG COP3PL
پنجه	NUM$پنجه+SG
پنجه‌ات	NUM$پنجه+SG PRO2SG
پنجه‌اش	NUM$پنجه+SG PRO3SG
پنجه‌ام	NUM$پنجه+SG PRO1SG#SG COP1SG
پنجه‌اند	NUM$پنجه+SG COP3PL
پنجه‌ای	NUM$پنجه+SG COP2SG
پنجه‌ست	NUM$پنجه+SG COP3SG
پنجه‌شان	NUM$پنجه+SG PRO3PL
پنجه‌ها	NUM$پنجه+PL
پنجه‌های	NUM$پنجه+PL EZ#PL COP2SG
پنجه‌ی	NUM$پنجه+SG COP2SG#SG EZ
پنجگان	NUM$پنجه+PL
پنجی	NUM$پنج+SG COP2SG#SG YEH
پنجیم	NUM$پنج+SG YEH COP1SG#SG COP1PL
پنهان	ADV$پنهان+
پنهانست	ADV$پنهان+ COP3SG
پنهانم	ADV$پنهان+ COP1SG
پنهانند	ADV$پنهان+ COP3PL
پنهانی	ADV$پنهان+ COP2SG
پنهانیم	ADV$پنهان+ COP1PL
پنهان‌ست	ADV$پنهان+ COP3SG
په	INT$په+
پهی	ADV$پهی+
پوشیده	ADV$پوشیده+
پوشیده‌است	ADV$پوشیده+ COP3SG
پوشیده‌ام	ADV$پوشیده+ COP1SG
پوشیده‌اند	ADV$پوشیده+ COP3PL
پوشیده‌ای	ADV$پوشیده+ COP2SG
پوشیده‌ایم	ADV$پوشیده+ COP1PL
پوشیده‌ست	ADV$پوشیده+ COP3SG
پوشیده‌ی	ADV$پوشیده+ COP2SG
پگاه	ADV$پگاه+
پیاده	ADV$پیاده+
پیاده‌ام	ADV$پیاده+ COP1SG
پیاده‌اند	ADV$پیاده+ COP3PL
پیاده‌ای	ADV$پیاده+ COP2SG
پیاده‌ایم	ADV$پیاده+ COP1PL
پیاده‌ست	ADV$پیاده+ COP3SG
پیاده‌ی	ADV$پیاده+ COP2SG
پیرامون	ADV$پیرامون+
پیرانه	ADV$پیرانه+
پیرانه‌ای	ADV$پیرانه+ COP2SG
پیرانه‌سر	ADV$پیرانه‌سر+
پیش	ADV$پیش+
پیشاپیش	ADV$پیشاپیش+
پیشت	INT$پیشت+
پیشتر	ADV$پیشتر+
پیشترست	ADV$پیشتر+ COP3SG
پیشترم	ADV$پیشتر+ COP1SG
پیشترند	ADV$پیشتر+ COP3PL
پیشست	ADV$پیش+ COP3SG
پیشم	ADV$پیش+ COP1SG
پیشند	ADV$پیش+ COP3PL
پیشی	ADV$پیش+ COP2SG
پیشیم	ADV$پیش+ COP1PL
پیش‌ام	ADV$پیش+ COP1SG
پیش‌دست	ADV$پیش‌دست+
پیش‌دستی	ADV$پیش‌دست+ COP2SG
پیش‌پیش	ADV$پیش‌پیش+
پیلوار	ADV$پیلوار+
پیمان‌شکن	ADV$پیمان‌شکن+
پیوسته	ADV$پیوسته+
پیوسته‌ام	ADV$پیوسته+ COP1SG
پیوسته‌اند	ADV$پیوسته+ COP3PL
پیوسته‌ای	ADV$پیوسته+ COP2SG
پیوسته‌ایم	ADV$پیوسته+ COP1PL
پیوسته‌ست	ADV$پیوسته+ COP3SG
پیوسته‌ی	ADV$پیوسته+ COP2SG
پی‌درپی	ADV$پی‌درپی+
چابک	ADV$چابک+
چابکست	ADV$چابک+ COP3SG
چابکم	ADV$چابک+ COP1SG
چابکند	ADV$چابک+ COP3PL
چابکی	ADV$چابک+ COP2SG
چابک‌اند	ADV$چابک+ COP3PL
چات	PRO$چه+PL
چار	NUM$چار+SG
چارت	NUM$چار+SG PRO2SG
چارست	NUM$چار+SG COP3SG
چارش	NUM$چار+SG PRO3SG
چارم	NUM$چار+SG PRO1SG#SG COP1SG
چارمست	NUM$چار+SG PRO1SG COP3SG
چارمی	NUM$چار+SG PRO1SG COP2SG#SG PRO1SG YEH
چارند	NUM$چار+SG COP3PL
چارها	NUM$چار+PL
چارهای	NUM$چار+PL EZ#PL COP2SG
چارچشمی	ADV$چارچشمی+
چاری	NUM$چار+SG COP2SG#SG YEH
چالاک	ADV$چالاک+
چالاکست	ADV$چالاک+ COP3SG
چالاکم	ADV$چالاک+ COP1SG
چالاکی	ADV$چالاک+ COP2SG
چاکرانه	ADV$چاکرانه+
چخ	INT$چخ+
چرا	ADV$چرا+
چراست	ADV$چرا+ COP3SG
چرام	ADV$چرا+ COP1SG
چراند	ADV$چرا+ COP3PL
چرای	ADV$چرا+ COP2SG
چرایم	ADV$چرا+ COP1PL
چرنگ	INT$چرنگ+
چسان	PRO$چسان+SG&ADV$چسان+
چسانش	PRO$چسان+SG PRO3SG
چسانم	PRO$چسان+SG PRO1SG#SG COP1SG&ADV$چسان+ COP1SG
چست	ADV$چست+
چستست	ADV$چست+ COP3SG
چستم	ADV$چست+ COP1SG
چستند	ADV$چست+ COP3PL
چستی	ADV$چست+ COP2SG
چش	INT$چش+
چشش	INT$چش+ PRO3SG
چشم	INT$چش+ PRO1SG*چشم+
چشمان	INT$چش+ PRO1PL
چشمت	INT$چشم+ PRO2SG
چشمتان	INT$چشم+ PRO2PL
چشمش	INT$چشم+ PRO3SG
چشمشان	INT$چشم+ PRO3PL
چشمم	INT$چشم+ PRO1SG
چقدر	ADV$چقدر+
چل	NUM$چل+SG
چنان	ADV$چنان+
